sektion;rumänska;svenska;favorit;minnesregel;prio;böjning
Djur;câine (m);hund;;;1;"un câine, doi câini"
Djur;pisică (f);katt;;;1;"o pisică, două pisici"
Djur;cal (m);häst;;;1;"un cal, doi cai"
Djur;vacă (f);ko;;;2;"o vacă, două vaci"
Djur;oaie (f);får;;;2;"o oaie, două oi"
Djur;porc (m);gris;;;2;"un porc, doi porci"
Djur;găină (f);höna;;;2;"o găină, două găini"
Djur;cocoș (m);tupp;;;3;"un cocoș, doi cocoși"
Djur;rață (f);anka;;;3;"o rață, două rațe"
Djur;capră (f);get;;;3;"o capră, două capre"
Djur;urs (m);björn (vanlig i Karpaterna);;;1;"un urs, doi urși"
Djur;lup (m);varg;;;2;"un lup, doi lupi"
Djur;vulpe (f);räv;;;2;"o vulpe, două vulpi"
Djur;cerb (m);kronhjort;;;3;"un cerb, doi cerbi"
Djur;căprioară (f);rådjur;;;3;"o căprioară, două căprioare"
Djur;mistreț (m);vildsvin;;;3;"un mistreț, doi mistreți"
Djur;iepure (m);"hare, kanin";;;2;"un iepure, doi iepuri"
Djur;veveriță (f);ekorre;;;3;"o veveriță, două veverițe"
Djur;șoarece (m);mus;;;3;"un șoarece, doi șoareci"
Djur;pasăre (f);fågel;;;1;"o pasăre, două păsări"
Djur;vultur (m);örn;;;3;"un vultur, doi vulturi"
Djur;barză (f);stork (häckar på byhusen);;;3;"o barză, două berze"
Djur;albină (f);bi;;;3;"o albină, două albine"
Djur;muscă (f);fluga;;;2;"o muscă, două muște"
Djur;țânțar (m);mygga;;;2;"un țânțar, doi țânțari"
Djur;șarpe (m);orm;;;3;"un șarpe, doi șerpi"
Djur;"Atenție, câine rău!";Varning för hunden!;;;2;
Djur;Sunt urși în zonă?;Finns det björnar i området?;;;2;
