sektion;rumänska;svenska;favorit;minnesregel;prio;böjning
Färger & vanliga adjektiv;roșu;röd;;;1;
Färger & vanliga adjektiv;albastru;blå;;;1;
Färger & vanliga adjektiv;verde;grön;;;1;
Färger & vanliga adjektiv;galben;gul;;;1;
Färger & vanliga adjektiv;negru;svart;;;1;
Färger & vanliga adjektiv;alb;vit;;;1;
Färger & vanliga adjektiv;maro;brun;;;2;
Färger & vanliga adjektiv;gri;grå;;;2;
Färger & vanliga adjektiv;portocaliu;orange;;;2;
Färger & vanliga adjektiv;roz;rosa;;;2;
Färger & vanliga adjektiv;mov;lila;;;3;
Färger & vanliga adjektiv;mare;stor;;;1;
Färger & vanliga adjektiv;mic;liten;;;1;
Färger & vanliga adjektiv;lung;lång (om saker);;;2;
Färger & vanliga adjektiv;scurt;kort;;;2;
Färger & vanliga adjektiv;înalt;"hög, lång (om personer)";;;2;
Färger & vanliga adjektiv;plin;full;;;2;
Färger & vanliga adjektiv;gol;tom;;;3;
Färger & vanliga adjektiv;nou;ny;;;1;
Färger & vanliga adjektiv;bun;"bra, god";;;1;
Färger & vanliga adjektiv;urât;ful;;;3;
Färger & vanliga adjektiv;scump;dyr;;;1;
Färger & vanliga adjektiv;ieftin;billig;;;1;
Färger & vanliga adjektiv;curat;ren;;;2;
Färger & vanliga adjektiv;murdar;smutsig;;;2;
Färger & vanliga adjektiv;cald;varm;;;1;
Färger & vanliga adjektiv;rece;kall;;;1;
Färger & vanliga adjektiv;greu;"tung, svår";;;2;
Färger & vanliga adjektiv;ușor;lätt;;;2;
Färger & vanliga adjektiv;rapid;snabb;;;2;
Färger & vanliga adjektiv;lent;långsam;;;3;
Färger & vanliga adjektiv;tânăr;ung;;;2;
Färger & vanliga adjektiv;bătrân;gammal (om personer);;;2;
Färger & vanliga adjektiv;obosit;trött;;;2;
Färger & vanliga adjektiv;fericit;glad;;;2;
Färger & vanliga adjektiv;trist;ledsen;;;3;
