sektion;rumänska;svenska;favorit;minnesregel;prio;böjning
Natur & väder;vreme (f);väder;;;1;"o vreme, două vremuri"
Natur & väder;soare (m);sol;;;1;"un soare, doi sori"
Natur & väder;ploaie (f);regn;;;1;"o ploaie, două ploi"
Natur & väder;zăpadă (f);snö;;;2;"o zăpadă, două zăpezi"
Natur & väder;vânt (n);vind;;;2;"un vânt, două vânturi"
Natur & väder;nor (m);moln;;;2;"un nor, doi nori"
Natur & väder;furtună (f);storm;;;3;"o furtună, două furtuni"
Natur & väder;ceață (f);dimma;;;3;"o ceață, două cețuri"
Natur & väder;cer (n);himmel;;;2;"un cer, două ceruri"
Natur & väder;temperatură (f);temperatur;;;2;"o temperatură, două temperaturi"
Natur & väder;grad (n);grad;;;2;"un grad, două grade"
Natur & väder;umbră (f);skugga;;;3;"o umbră, două umbre"
Natur & väder;pădure (f);skog;;;1;"o pădure, două păduri"
Natur & väder;râu (n);flod;;;2;"un râu, două râuri"
Natur & väder;lac (n);sjö;;;2;"un lac, două lacuri"
Natur & väder;mare (f);hav (jämför adjektivet mare = stor);;;1;"o mare, două mări"
Natur & väder;copac (m);träd;;;1;"un copac, doi copaci"
Natur & väder;floare (f);blomma;;;1;"o floare, două flori"
Natur & väder;iarbă (f);gräs;;;2;"o iarbă, două ierburi"
Natur & väder;frunză (f);löv;;;3;"o frunză, două frunze"
Natur & väder;piatră (f);sten;;;3;"o piatră, două pietre"
Natur & väder;vale (f);dal;;;3;"o vale, două văi"
Natur & väder;câmp (n);fält;;;3;"un câmp, două câmpuri"
Natur & väder;plajă (f);strand;;;2;"o plajă, două plaje"
Natur & väder;insulă (f);ö;;;3;"o insulă, două insule"
Natur & väder;peșteră (f);grotta;;;3;"o peșteră, două peșteri"
Natur & väder;a ploua;att regna (opersonligt: bara 3:e person);;;1;plouă · a plouat · să plouă
Natur & väder;a ninge;att snöa (opersonligt: bara 3:e person);;;2;ninge · a nins · să ningă
Natur & väder;Plouă.;Det regnar.;;;1;
Natur & väder;Este cald.;Det är varmt.;;;1;
Natur & väder;Este frig.;Det är kallt.;;;1;
Natur & väder;Ce vreme frumoasă!;Vilket fint väder!;;;2;
