sektion;rumänska;svenska;favorit;minnesregel;prio;böjning
Slott & sevärdheter;castel (n);slott;;;1;"un castel, două castele"
Slott & sevärdheter;cetate (f);"fästning, borg";;;2;"o cetate, două cetăți"
Slott & sevärdheter;biserică (f);kyrka;;;1;"o biserică, două biserici"
Slott & sevärdheter;mănăstire (f);kloster;;;2;"o mănăstire, două mănăstiri"
Slott & sevärdheter;muzeu (n);museum;;;1;"un muzeu, două muzee"
Slott & sevärdheter;turn (n);torn;;;2;"un turn, două turnuri"
Slott & sevärdheter;zid (n);mur;;;3;"un zid, două ziduri"
Slott & sevärdheter;poartă (f);"port, grind";;;2;"o poartă, două porți"
Slott & sevärdheter;curte (f);"innergård, borggård";;;3;"o curte, două curți"
Slott & sevärdheter;bilet (n);biljett;;;1;"un bilet, două bilete"
Slott & sevärdheter;casă de bilete (f);biljettkassa;;;2;"o casă de bilete, două case de bilete"
Slott & sevärdheter;intrare (f);"entré, ingång";;;1;"o intrare, două intrări"
Slott & sevärdheter;ieșire (f);utgång;;;1;"o ieșire, două ieșiri"
Slott & sevärdheter;program (n);öppettider;;;2;"un program, două programe"
Slott & sevärdheter;ghid (m);guide;;;1;"un ghid, doi ghizi"
Slott & sevärdheter;tur (n);rundtur;;;2;"un tur, două tururi"
Slott & sevärdheter;vizită (f);besök;;;2;"o vizită, două vizite"
Slott & sevärdheter;fotografie (f);foto;;;2;"o fotografie, două fotografii"
Slott & sevärdheter;reducere (f);rabatt;;;2;"o reducere, două reduceri"
Slott & sevärdheter;coadă (f);kö;;;2;"o coadă, două cozi"
Slott & sevärdheter;suvenir (n);souvenir;;;3;
Slott & sevärdheter;grup (n);grupp;;;3;"un grup, două grupuri"
Slott & sevärdheter;a vizita;att besöka;;;1;"vizitez, vizitează · am vizitat · să viziteze"
Slott & sevärdheter;a intra;att gå in;;;2;"intru, intră · am intrat · să intre"
Slott & sevärdheter;a deschide;att öppna;;;2;"deschid, deschide · am deschis · să deschidă"
Slott & sevärdheter;a închide;att stänga;;;2;"închid, închide · am închis · să închidă"
Slott & sevärdheter;a fotografia;att fotografera;;;2;"fotografiez, fotografiază · am fotografiat · să fotografieze"
Slott & sevärdheter;deschis;öppen;;;1;
Slott & sevärdheter;închis;stängd;;;1;
Slott & sevärdheter;vechi;gammal (om saker);;;2;
Slott & sevärdheter;frumos;vacker;;;1;
Slott & sevärdheter;celebru;berömd;;;3;
Slott & sevärdheter;"Două bilete, vă rog.";"Två biljetter, tack.";;;1;
Slott & sevärdheter;Cât costă intrarea?;Vad kostar inträdet?;;;1;
Slott & sevärdheter;Este deschis astăzi?;Är det öppet idag?;;;1;
Slott & sevärdheter;La ce oră se închide?;Hur dags stänger det?;;;1;
Slott & sevärdheter;Unde este intrarea?;Var är ingången?;;;1;
Slott & sevärdheter;Aveți un ghid în engleză?;Har ni en guide på engelska?;;;2;
Slott & sevärdheter;Se poate fotografia?;Får man fotografera?;;;2;
Slott & sevärdheter;Există reducere pentru copii?;Finns det barnrabatt?;;;2;
Slott & sevärdheter;Cât durează turul?;Hur lång tid tar rundturen?;;;2;
