sektion;rumänska;svenska;favorit;minnesregel;prio;böjning
Småprat & artighet;nume (n);namn;;;1;"un nume, două nume"
Småprat & artighet;vârstă (f);ålder;;;2;"o vârstă, două vârste"
Småprat & artighet;vacanță (f);semester;;;1;"o vacanță, două vacanțe"
Småprat & artighet;turist (m);turist;;;2;"un turist, doi turiști"
Småprat & artighet;limbă (f);språk;;;1;"o limbă, două limbi"
Småprat & artighet;serviciu (n);"jobb, arbete";;;2;"un serviciu, două servicii"
Småprat & artighet;suedez (m);svensk;;;1;"un suedez, doi suedezi"
Småprat & artighet;engleză (f);engelska (språket);;;1;
Småprat & artighet;a locui;att bo;;;1;"locuiesc, locuiește · am locuit · să locuiască"
Småprat & artighet;a călători;att resa;;;2;"călătoresc, călătorește · am călătorit · să călătorească"
Småprat & artighet;Vorbesc puțină română.;Jag talar lite rumänska.;;;1;
Småprat & artighet;"Puteți vorbi mai rar, vă rog?";"Kan ni tala långsammare, tack?";;;1;
Småprat & artighet;Ce înseamnă…?;Vad betyder…?;;;1;
Småprat & artighet;Cum se spune… în română?;Hur säger man … på rumänska?;;;1;
Småprat & artighet;Îmi pare rău.;"Förlåt, jag är ledsen.";;;1;
Småprat & artighet;Cu plăcere.;Varsågod (svar på tack).;;;1;
Småprat & artighet;Mulțumesc frumos.;Tack så mycket.;;;1;
Småprat & artighet;Nicio problemă.;Inga problem.;;;2;
Småprat & artighet;Noroc!;Skål!;;;1;
Småprat & artighet;Sănătate!;Prosit! (när någon nyser);;;2;
Småprat & artighet;Sunt în vacanță.;Jag är på semester.;;;1;
Småprat & artighet;Unde locuiți?;Var bor ni?;;;2;
Småprat & artighet;Îmi place România.;Jag gillar Rumänien.;;;2;
Småprat & artighet;Este foarte frumos aici.;Det är väldigt vackert här.;;;2;
Småprat & artighet;Câți ani ai?;Hur gammal är du?;;;3;
